exp,wks,type,bluecol,south,smsa,married,sex,union,education,black,lwage,industry,occupation,residence
17,52,Full Time,yes,yes,yes,no,male,no,7,no,5.73657,Trade,Service_Workers,south
18,51,Full Time,yes,yes,yes,no,male,no,7,no,5.81413,Trade,Service_Workers,south
19,50,Full Time,yes,yes,yes,no,male,no,7,no,5.8999,Trade,Service_Workers,south
20,50,Full Time,yes,yes,yes,no,male,no,7,no,5.94017,Trade,Service_Workers,south
21,50,Full Time,yes,yes,yes,no,male,no,7,no,6.13123,Trade,Service_Workers,south
22,49,Full Time,yes,yes,yes,no,male,no,7,no,6.13123,Trade,Service_Workers,south
23,48,Full Time,yes,yes,yes,no,male,no,7,no,6.10925,Professional_and_Related Service,Service_Workers,NA
11,49,Full Time,no,yes,yes,no,male,no,14,no,6.67203,Manufacturing,Operatives_and_kindred,south
12,48,Full Time,no,yes,yes,no,male,no,14,no,6.84268,Trade,Operatives_and_kindred,south
13,47,Full Time,no,yes,yes,no,male,no,14,no,6.84055,Manufacturing,Clerical_and_kindred,south
14,48,Full Time,no,yes,yes,no,male,no,14,no,6.85646,Manufacturing,Operatives_and_kindred,south
15,49,Full Time,no,yes,yes,no,male,no,14,no,6.99485,Manufacturing,"Craftsmen, Foremen_and_kindred",south
16,46,Full Time,no,yes,yes,yes,male,no,14,no,7.05618,Manufacturing,"Craftsmen, Foremen_and_kindred",south
17,47,Full Time,no,yes,yes,yes,male,no,14,no,7.29709,Manufacturing,"Craftsmen, Foremen_and_kindred",south
6,49,Full Time,no,yes,yes,yes,male,no,12,no,6.36303,Manufacturing,"Craftsmen, Foremen_and_kindred",south
7,51,Full Time,no,yes,yes,yes,male,no,12,no,6.47697,Finance,Sales_Workers,NA
8,50,Full Time,no,yes,yes,yes,male,no,12,no,6.57228,Finance,Clerical_and_kindred,NA
9,49,Full Time,no,yes,yes,yes,male,no,12,no,6.65929,Finance,"Managers, Officials_and_Proprietors",NA
10,49,Full Time,no,yes,yes,yes,male,no,12,no,6.80239,Finance,"Professional, Technical_and_kindred",NA
11,48,Full Time,no,yes,yes,yes,male,no,12,no,6.58893,Finance,Clerical_and_kindred,NA
12,49,Full Time,no,yes,yes,yes,male,no,12,no,6.76849,Finance,"Managers, Officials_and_Proprietors",NA
31,47,Full Time,no,no,yes,yes,male,no,12,no,6.90575,Finance,"Managers, Officials_and_Proprietors",NA
32,48,Full Time,no,no,yes,yes,male,no,12,no,6.90575,Finance,"Managers, Officials_and_Proprietors",NA
33,48,Full Time,no,no,yes,yes,male,no,12,no,7.1309,Manufacturing,"Craftsmen, Foremen_and_kindred",NA
34,45,Full Time,no,no,yes,yes,male,no,12,no,7.1309,Finance,Service_Workers,NA
35,41,Full Time,no,no,yes,yes,male,no,12,no,7.31322,Personal_Service,Service_Workers,NA
36,42,Full Time,no,no,yes,yes,male,no,12,no,7.32975,Personal_Service,Service_Workers,NA
37,47,Full Time,no,no,yes,yes,male,no,12,no,7.49554,Construction,"Craftsmen, Foremen_and_kindred",NA
15,31,Full Time,yes,no,no,yes,male,yes,12,no,6.24611,Construction,"Craftsmen, Foremen_and_kindred",south
16,51,Full Time,yes,no,no,yes,male,no,12,no,6.21461,Construction,"Craftsmen, Foremen_and_kindred",NA
17,45,Full Time,yes,no,no,yes,male,yes,12,no,6.47697,Construction,"Craftsmen, Foremen_and_kindred",NA
18,49,Full Time,yes,no,no,yes,male,yes,12,no,6.49677,Trade,Operatives_and_kindred,NA
19,48,Full Time,yes,no,no,yes,male,yes,12,no,6.61473,Trade,Sales_Workers,NA
20,47,Full Time,yes,no,no,yes,male,yes,12,no,6.74524,Manufacturing,Laborers_and_farmers,NA
21,45,Full Time,yes,no,no,yes,male,yes,12,no,7.1309,Trade,Sales_Workers,nothern_central
25,48,Full Time,no,no,yes,yes,male,yes,12,no,6.74524,Public_Administration,Service_Workers,nothern_central
26,48,Full Time,no,no,yes,yes,male,no,12,no,6.81344,Public_Administration,Service_Workers,nothern_central
27,48,Full Time,no,no,yes,yes,male,no,12,no,6.87213,Public_Administration,Service_Workers,nothern_central
28,47,Full Time,no,no,yes,yes,male,no,12,no,7.10661,Public_Administration,"Managers, Officials_and_Proprietors",nothern_central
29,47,Full Time,no,no,yes,yes,male,no,12,no,7.24423,Trade,"Managers, Officials_and_Proprietors",NA
30,47,Full Time,yes,no,yes,yes,male,no,12,no,7.2998,Trade,"Managers, Officials_and_Proprietors",NA
31,49,Full Time,no,no,yes,yes,male,no,12,no,7.37776,Trade,"Managers, Officials_and_Proprietors",NA
37,47,Part Time,no,no,yes,yes,male,yes,12,no,6.50728,Trade,"Managers, Officials_and_Proprietors",NA
38,46,Full Time,no,no,yes,yes,male,yes,12,no,6.55108,Trade,"Managers, Officials_and_Proprietors",NA
39,46,Part Time,no,no,yes,yes,male,yes,12,no,6.8773,Trade,"Managers, Officials_and_Proprietors",NA
40,46,Full Time,no,no,yes,yes,male,yes,12,no,6.55108,Trade,"Managers, Officials_and_Proprietors",NA
41,47,Part Time,no,no,yes,yes,male,yes,12,no,7.04752,Finance,Sales_Workers,NA
42,47,Full Time,no,no,yes,yes,male,yes,12,no,6.83411,Entertainment,"Managers, Officials_and_Proprietors",NA
43,40,Part Time,no,no,yes,yes,male,yes,12,no,6.74524,Finance,Sales_Workers,NA
6,50,Full Time,yes,no,no,no,male,no,13,no,6.10925,Finance,Clerical_and_kindred,NA
7,49,Part Time,yes,no,no,no,male,no,13,no,6.31355,Finance,Clerical_and_kindred,NA
8,49,Full Time,yes,no,no,no,male,no,13,no,6.45362,Finance,"Professional, Technical_and_kindred",NA
9,49,Part Time,no,no,yes,no,male,no,13,no,6.68461,Finance,Clerical_and_kindred,NA
10,51,Full Time,no,no,yes,no,male,no,13,no,6.79122,Finance,Sales_Workers,NA
11,52,Part Time,no,no,yes,no,male,no,13,no,6.83518,Finance,Clerical_and_kindred,NA
12,49,Full Time,no,no,yes,no,male,no,13,no,6.96791,Trade,Clerical_and_kindred,NA
19,49,Part Time,no,no,yes,no,male,no,13,no,6.90575,Trade,Laborers_and_farmers,NA
20,49,Full Time,no,no,yes,no,male,no,13,no,6.90575,Trade,Clerical_and_kindred,NA
21,49,Part Time,no,no,yes,no,male,no,13,no,7.1107,Trade,Clerical_and_kindred,NA
22,48,Full Time,no,no,yes,no,male,no,13,no,7.25134,Trade,Clerical_and_kindred,NA
23,46,Part Time,no,no,yes,no,male,no,13,no,7.34601,Finance,Sales_Workers,NA
24,46,Full Time,no,no,yes,no,male,no,13,no,7.34601,Finance,Sales_Workers,NA
25,48,Part Time,no,no,yes,no,male,no,13,no,7.2998,Finance,Sales_Workers,NA
27,39,Full Time,no,no,yes,yes,male,no,17,no,6.90575,Manufacturing,"Managers, Officials_and_Proprietors",NA
28,36,Part Time,no,no,yes,yes,male,no,17,no,6.90575,Manufacturing,"Craftsmen, Foremen_and_kindred",NA
29,50,Full Time,no,no,yes,yes,male,no,17,no,7.17012,Construction,"Craftsmen, Foremen_and_kindred",NA
30,48,Part Time,no,no,yes,yes,male,no,17,no,7.4553,Manufacturing,"Craftsmen, Foremen_and_kindred",NA
31,48,Full Time,no,no,yes,yes,male,no,17,no,7.56008,Manufacturing,"Craftsmen, Foremen_and_kindred",NA
32,39,Part Time,no,no,yes,yes,male,no,17,no,7.37212,Manufacturing,"Craftsmen, Foremen_and_kindred",NA
33,39,Full Time,no,no,yes,yes,male,no,17,no,7.75577,Manufacturing,"Craftsmen, Foremen_and_kindred",NA
29,50,Part Time,no,no,yes,yes,male,no,17,no,6.28972,Manufacturing,"Craftsmen, Foremen_and_kindred",NA
30,50,Full Time,no,no,yes,yes,male,no,17,no,6.3613,Trade,Laborers_and_farmers,NA
31,50,Part Time,no,no,no,yes,male,no,17,no,6.43615,Trade,"Craftsmen, Foremen_and_kindred",NA
32,50,Full Time,no,no,no,yes,male,no,17,no,6.43455,Trade,"Craftsmen, Foremen_and_kindred",NA
33,49,Part Time,no,no,no,yes,male,no,17,no,6.41182,Trade,"Craftsmen, Foremen_and_kindred",NA
34,49,Full Time,no,no,no,yes,male,no,17,no,6.3699,Trade,"Craftsmen, Foremen_and_kindred",NA
35,49,Part Time,no,no,no,yes,male,no,17,no,6.4677,Trade,"Craftsmen, Foremen_and_kindred",NA
14,49,Full Time,no,no,no,yes,male,no,12,no,6.69456,Trade,"Craftsmen, Foremen_and_kindred",NA
15,49,Part Time,no,no,no,yes,male,no,12,no,6.76849,Business_and_Repair_Service,"Craftsmen, Foremen_and_kindred",NA
16,49,Full Time,no,no,no,yes,male,no,12,no,6.90776,Transportation,Clerical_and_kindred,NA
17,49,Part Time,no,no,no,yes,male,no,12,no,7.03966,Transportation,Clerical_and_kindred,NA
18,49,Full Time,no,no,no,yes,male,no,12,no,7.02554,Business_and_Repair_Service,"Craftsmen, Foremen_and_kindred",NA
19,49,Part Time,no,no,no,yes,male,no,12,no,7.22766,Manufacturing,"Craftsmen, Foremen_and_kindred",NA
20,48,Full Time,yes,no,no,yes,male,no,12,no,7.21229,Manufacturing,"Professional, Technical_and_kindred",NA
14,50,Part Time,yes,no,no,yes,male,yes,14,no,6.74052,Trade,"Craftsmen, Foremen_and_kindred",NA
15,50,Full Time,yes,no,no,yes,male,yes,14,no,6.82979,Manufacturing,"Craftsmen, Foremen_and_kindred",NA
16,49,Part Time,yes,no,no,yes,male,yes,14,no,6.80239,Business_and_Repair_Service,"Craftsmen, Foremen_and_kindred",NA
17,48,Full Time,yes,no,no,yes,male,yes,14,no,6.94698,Construction,Laborers_and_farmers,NA
18,50,Part Time,yes,no,no,yes,male,yes,14,no,7.01031,Construction,"Craftsmen, Foremen_and_kindred",NA
19,49,Full Time,yes,no,no,yes,male,yes,14,no,7.13569,Construction,"Craftsmen, Foremen_and_kindred",NA
20,48,Part Time,yes,no,no,yes,male,yes,14,no,7.06817,Construction,"Craftsmen, Foremen_and_kindred",NA
14,38,Full Time,no,no,yes,no,female,no,17,no,6.57925,Trade,Clerical_and_kindred,NA
15,36,Part Time,no,no,yes,no,female,yes,17,no,6.39693,Trade,"Craftsmen, Foremen_and_kindred",NA
16,39,Full Time,no,no,yes,no,female,yes,17,no,6.62007,Construction,Service_Workers,NA
17,42,Part Time,no,no,yes,no,female,yes,17,no,6.7093,Construction,"Craftsmen, Foremen_and_kindred",NA
18,39,Full Time,no,no,yes,no,female,yes,17,no,6.76849,Personal_Service,Operatives_and_kindred,NA
19,27,Part Time,no,no,yes,no,female,yes,17,no,6.93537,Trade,Service_Workers,NA
20,43,Full Time,no,no,yes,no,female,yes,17,no,7.04752,Trade,Service_Workers,NA
25,41,Part Time,yes,no,no,yes,male,yes,9,no,6.58617,Trade,Service_Workers,NA
26,48,Full Time,yes,no,no,yes,male,yes,9,no,6.68461,Trade,Service_Workers,NA
27,48,Part Time,yes,no,no,yes,male,yes,9,no,6.71538,Trade,Service_Workers,NA
28,47,Full Time,yes,no,no,yes,male,yes,9,no,6.77422,Trade,Service_Workers,NA
29,41,Part Time,yes,no,no,yes,male,yes,9,no,6.85646,Trade,Service_Workers,NA
30,43,Full Time,yes,no,no,yes,male,yes,9,no,6.91672,Trade,"Professional, Technical_and_kindred",NA
31,47,Part Time,yes,no,no,yes,male,yes,9,no,6.99942,Professional_and_Related Service,Clerical_and_kindred,nothern_central
16,50,Full Time,no,no,yes,yes,male,no,17,no,6.90575,Professional_and_Related Service,Clerical_and_kindred,nothern_central
17,50,Part Time,no,no,yes,yes,male,no,17,no,6.90575,Professional_and_Related Service,Clerical_and_kindred,nothern_central
18,51,Full Time,no,no,yes,yes,male,no,17,no,8.08641,Transportation,Laborers_and_farmers,NA
19,49,Part Time,no,no,yes,yes,male,no,17,no,8.22951,Professional_and_Related Service,"Professional, Technical_and_kindred",NA
20,52,Full Time,no,no,yes,yes,male,no,17,no,7.90986,Professional_and_Related Service,"Professional, Technical_and_kindred",NA
21,50,Part Time,no,no,yes,yes,male,no,17,no,8.12089,Professional_and_Related Service,Service_Workers,nothern_central
22,50,Full Time,no,no,yes,yes,male,no,17,no,8.537,Manufacturing,"Professional, Technical_and_kindred",NA
14,51,Part Time,yes,no,yes,yes,male,no,12,no,6.24417,Manufacturing,"Managers, Officials_and_Proprietors",NA
15,50,Full Time,yes,no,yes,yes,male,no,12,no,6.39693,Manufacturing,Clerical_and_kindred,NA
16,50,Part Time,yes,no,yes,yes,male,no,12,no,6.90776,Manufacturing,"Professional, Technical_and_kindred",NA
17,49,Full Time,yes,no,yes,yes,male,no,12,no,6.90776,Manufacturing,"Managers, Officials_and_Proprietors",NA
18,50,Part Time,yes,no,yes,yes,male,no,12,no,6.77194,Manufacturing,"Professional, Technical_and_kindred",NA
19,50,Full Time,yes,no,yes,yes,male,no,12,no,6.86693,Manufacturing,Operatives_and_kindred,NA
20,49,Part Time,yes,no,yes,yes,male,no,12,no,6.90776,Manufacturing,"Professional, Technical_and_kindred",NA
13,51,Full Time,no,no,yes,yes,male,no,16,no,6.90575,Trade,Operatives_and_kindred,north_east
14,49,Part Time,no,no,yes,yes,male,no,16,no,6.90575,Trade,Operatives_and_kindred,north_east
15,49,Full Time,no,no,no,no,male,no,16,no,7.46737,Manufacturing,Operatives_and_kindred,north_east
16,48,Part Time,no,no,no,no,male,no,16,no,7.52294,Trade,Service_Workers,nothern_central
17,49,Full Time,no,no,no,no,male,no,16,no,7.6009,Trade,Service_Workers,nothern_central
18,50,Part Time,no,no,no,no,male,no,16,no,7.50769,Trade,Service_Workers,nothern_central
19,49,Full Time,no,no,no,no,male,no,16,no,7.64969,Trade,Service_Workers,nothern_central
15,49,Part Time,yes,no,no,yes,male,yes,12,no,6.62007,Trade,Service_Workers,nothern_central
16,48,Full Time,yes,no,no,yes,male,yes,12,no,6.71417,Trade,Operatives_and_kindred,north_east
17,48,Part Time,yes,no,no,yes,male,yes,12,no,6.81892,Trade,Operatives_and_kindred,north_east
18,49,Full Time,yes,no,no,yes,male,yes,12,no,6.97635,Public_Administration,Service_Workers,north_east
19,48,Part Time,yes,no,no,yes,male,yes,12,no,6.92658,Public_Administration,Service_Workers,north_east
20,49,Full Time,yes,no,no,yes,male,yes,12,no,7.00307,Business_and_Repair_Service,Service_Workers,north_east
21,50,Part Time,yes,no,no,yes,male,yes,12,no,7.00307,Public_Administration,Service_Workers,north_east
27,47,Full Time,yes,yes,no,yes,male,yes,8,no,6.30992,Public_Administration,Service_Workers,north_east
28,43,Part Time,yes,yes,no,yes,male,yes,8,no,6.55108,Public_Administration,Service_Workers,nothern_central
29,50,Full Time,yes,yes,no,yes,male,yes,8,no,6.56526,Manufacturing,Laborers_and_farmers,north_east
30,47,Part Time,yes,yes,no,yes,male,yes,8,no,6.74524,Manufacturing,Clerical_and_kindred,north_east
31,47,Full Time,yes,yes,no,yes,male,yes,8,no,6.93925,Manufacturing,Laborers_and_farmers,north_east
32,39,Part Time,yes,yes,no,yes,male,yes,8,no,6.95655,Manufacturing,Operatives_and_kindred,nothern_central
33,29,Full Time,yes,yes,no,yes,male,yes,8,no,7.00307,Manufacturing,Operatives_and_kindred,nothern_central
28,49,Part Time,no,yes,no,yes,male,no,16,no,6.8977,Manufacturing,Operatives_and_kindred,nothern_central
29,50,Full Time,no,yes,no,yes,male,no,16,no,6.90575,Manufacturing,Laborers_and_farmers,nothern_central
30,49,Part Time,no,yes,no,yes,male,no,16,no,7.17012,Trade,Clerical_and_kindred,nothern_central
31,49,Full Time,no,yes,no,yes,male,no,16,no,7.31322,Trade,"Managers, Officials_and_Proprietors",nothern_central
32,49,Part Time,no,yes,no,yes,male,no,16,no,7.37776,Trade,Sales_Workers,nothern_central
33,49,Full Time,no,yes,no,yes,male,no,16,no,7.49554,Manufacturing,Operatives_and_kindred,nothern_central
34,47,Part Time,no,yes,no,yes,male,no,16,no,7.49554,Manufacturing,Operatives_and_kindred,nothern_central
14,38,Full Time,yes,yes,yes,yes,male,yes,12,no,6.22059,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
15,49,Part Time,yes,yes,yes,yes,male,yes,12,no,6.30079,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
16,49,Full Time,yes,yes,yes,yes,male,yes,12,no,6.37673,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
17,49,Part Time,yes,yes,yes,yes,male,yes,12,no,6.50129,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
18,49,Full Time,yes,yes,yes,yes,male,yes,12,no,6.62007,Professional_and_Related Service,Service_Workers,north_east
19,49,Part Time,yes,yes,yes,yes,male,yes,12,no,6.78672,Business_and_Repair_Service,Operatives_and_kindred,nothern_central
20,49,Full Time,yes,yes,yes,yes,male,yes,12,no,6.91672,Trade,Operatives_and_kindred,nothern_central
3,38,Part Time,yes,no,no,yes,male,no,12,no,6.41673,Trade,Operatives_and_kindred,nothern_central
4,51,Full Time,yes,no,no,yes,male,no,12,no,6.4892,Trade,Operatives_and_kindred,nothern_central
5,49,Part Time,yes,no,no,yes,male,no,12,no,6.6174,Finance,"Managers, Officials_and_Proprietors",nothern_central
6,51,Full Time,yes,no,no,yes,male,no,12,no,6.70564,Finance,"Managers, Officials_and_Proprietors",nothern_central
7,51,Part Time,yes,no,no,yes,male,no,12,no,6.85646,Finance,Sales_Workers,north_east
8,50,Full Time,yes,no,no,yes,male,no,12,no,6.43775,Trade,"Craftsmen, Foremen_and_kindred",nothern_central
9,52,Part Time,yes,no,no,yes,male,no,12,no,5.7462,Business_and_Repair_Service,"Craftsmen, Foremen_and_kindred",nothern_central
28,51,Full Time,yes,no,yes,yes,male,yes,14,no,6.83518,Trade,Operatives_and_kindred,north_east
29,48,Part Time,yes,no,yes,yes,male,yes,14,no,6.90575,Business_and_Repair_Service,"Craftsmen, Foremen_and_kindred",north_east
30,48,Full Time,yes,no,yes,yes,male,yes,14,no,7.08171,Business_and_Repair_Service,"Craftsmen, Foremen_and_kindred",north_east
31,45,Part Time,yes,no,yes,yes,male,yes,14,no,7.09838,Business_and_Repair_Service,"Craftsmen, Foremen_and_kindred",north_east
32,48,Full Time,yes,no,yes,yes,male,yes,14,no,7.37776,Business_and_Repair_Service,"Craftsmen, Foremen_and_kindred",nothern_central
33,49,Part Time,yes,no,yes,yes,male,yes,14,no,7.43838,Business_and_Repair_Service,"Craftsmen, Foremen_and_kindred",nothern_central
34,37,Full Time,yes,no,yes,yes,male,yes,14,no,7.35244,Manufacturing,Operatives_and_kindred,nothern_central
27,48,Part Time,yes,no,no,yes,male,no,12,no,5.52146,Manufacturing,Operatives_and_kindred,nothern_central
28,30,Full Time,yes,no,no,yes,male,no,12,no,5.89715,Manufacturing,Operatives_and_kindred,nothern_central
29,50,Part Time,yes,no,no,yes,male,yes,12,no,6.35611,Manufacturing,Operatives_and_kindred,nothern_central
30,50,Full Time,yes,no,no,yes,male,yes,12,no,6.47697,Manufacturing,"Professional, Technical_and_kindred",nothern_central
31,49,Part Time,yes,no,no,yes,male,yes,12,no,6.54679,Manufacturing,"Professional, Technical_and_kindred",nothern_central
32,42,Full Time,yes,no,no,yes,male,yes,12,no,6.65673,Manufacturing,Operatives_and_kindred,nothern_central
33,41,Part Time,yes,no,yes,yes,male,no,12,no,6.76273,Manufacturing,Sales_Workers,nothern_central
31,49,Full Time,no,no,yes,yes,male,yes,8,no,6.07074,Manufacturing,Operatives_and_kindred,nothern_central
32,48,Part Time,no,no,yes,yes,male,yes,8,no,6.12687,Manufacturing,Operatives_and_kindred,nothern_central
33,49,Full Time,no,no,yes,yes,male,yes,8,no,6.21461,Manufacturing,Operatives_and_kindred,nothern_central
34,49,Part Time,no,no,yes,yes,male,yes,8,no,6.27288,Manufacturing,Operatives_and_kindred,nothern_central
35,49,Full Time,no,no,yes,yes,male,yes,8,no,6.32794,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
36,49,Part Time,yes,no,yes,yes,male,yes,8,no,6.44413,Manufacturing,"Professional, Technical_and_kindred",nothern_central
37,49,Full Time,yes,no,yes,yes,male,yes,8,no,6.49072,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
31,46,Part Time,no,no,yes,yes,male,yes,8,no,6.48311,Manufacturing,Operatives_and_kindred,nothern_central
32,45,Full Time,no,no,yes,yes,male,yes,8,no,6.52503,Construction,Laborers_and_farmers,nothern_central
33,46,Part Time,no,no,yes,yes,male,yes,8,no,6.608,Manufacturing,Operatives_and_kindred,south
34,46,Full Time,no,no,yes,yes,male,yes,8,no,6.71538,Manufacturing,Operatives_and_kindred,south
35,46,Part Time,no,no,yes,yes,male,yes,8,no,6.84055,Manufacturing,Operatives_and_kindred,nothern_central
36,46,Full Time,no,no,yes,yes,male,yes,8,no,6.96979,Manufacturing,"Craftsmen, Foremen_and_kindred",south
37,46,Part Time,yes,no,yes,yes,male,yes,8,no,7.04752,Construction,Laborers_and_farmers,nothern_central
30,45,Full Time,yes,no,yes,yes,male,yes,8,no,6.48311,Manufacturing,Operatives_and_kindred,nothern_central
31,43,Part Time,yes,no,yes,yes,male,yes,8,no,6.55393,Business_and_Repair_Service,"Craftsmen, Foremen_and_kindred",nothern_central
32,45,Full Time,yes,no,yes,yes,male,yes,8,no,6.59987,Manufacturing,Operatives_and_kindred,south
33,45,Part Time,yes,no,yes,yes,male,yes,8,no,6.7093,Manufacturing,Operatives_and_kindred,south
34,43,Full Time,yes,no,yes,yes,male,yes,8,no,6.85646,Manufacturing,Operatives_and_kindred,south
35,38,Part Time,yes,no,yes,yes,male,yes,8,no,6.96791,Business_and_Repair_Service,"Craftsmen, Foremen_and_kindred",south
36,41,Full Time,yes,no,yes,yes,male,yes,8,no,7.06219,Manufacturing,Operatives_and_kindred,south
21,51,Part Time,no,yes,no,yes,male,no,17,no,6.90575,Trade,Operatives_and_kindred,south
22,51,Full Time,no,yes,no,yes,male,no,17,no,6.90575,Transportation,Operatives_and_kindred,south
23,50,Part Time,no,yes,no,yes,male,no,17,no,7.43838,Manufacturing,"Craftsmen, Foremen_and_kindred",south
24,50,Full Time,no,yes,no,yes,male,no,17,no,7.49554,Mining,"Craftsmen, Foremen_and_kindred",nothern_central
25,51,Part Time,no,yes,no,yes,male,no,17,no,7.57558,Personal_Service,Sales_Workers,nothern_central
26,46,Full Time,no,yes,no,yes,male,no,17,no,7.64969,Entertainment,"Managers, Officials_and_Proprietors",nothern_central
27,50,Part Time,no,yes,no,yes,male,no,17,no,7.54697,Entertainment,"Craftsmen, Foremen_and_kindred",nothern_central
19,51,Full Time,yes,yes,yes,yes,male,yes,12,yes,6.32794,Personal_Service,"Craftsmen, Foremen_and_kindred",nothern_central
20,50,Part Time,yes,yes,yes,yes,male,yes,12,yes,6.47697,Trade,Operatives_and_kindred,nothern_central
21,50,Full Time,yes,yes,yes,yes,male,yes,12,yes,6.58617,Trade,Operatives_and_kindred,nothern_central
22,50,Part Time,yes,yes,yes,yes,male,yes,12,yes,6.68461,Trade,Operatives_and_kindred,nothern_central
23,50,Full Time,yes,yes,yes,yes,male,yes,12,yes,6.68461,Trade,"Managers, Officials_and_Proprietors",nothern_central
24,50,Part Time,yes,yes,yes,yes,male,yes,12,yes,6.94119,Trade,Service_Workers,south
25,40,Full Time,yes,yes,yes,yes,male,yes,12,yes,7.04752,Trade,"Managers, Officials_and_Proprietors",nothern_central
4,47,Part Time,yes,no,no,no,male,yes,12,no,5.72031,Trade,"Managers, Officials_and_Proprietors",nothern_central
5,48,Full Time,yes,no,no,no,male,yes,12,no,5.95842,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
6,51,Part Time,yes,no,no,no,male,yes,12,no,6.02102,Manufacturing,Operatives_and_kindred,nothern_central
7,49,Full Time,yes,no,no,no,male,yes,12,no,6.21461,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
8,49,Part Time,yes,no,no,no,male,yes,12,no,6.29157,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
9,48,Full Time,yes,no,no,no,male,yes,12,no,6.37161,Entertainment,Service_Workers,nothern_central
10,49,Part Time,yes,no,no,no,male,yes,12,no,6.45362,Entertainment,Service_Workers,nothern_central
15,49,Full Time,no,no,no,yes,male,no,12,no,6.65286,Finance,Service_Workers,nothern_central
16,49,Part Time,no,no,no,yes,male,no,12,no,6.77422,Finance,Service_Workers,nothern_central
17,47,Full Time,no,no,no,yes,male,no,12,no,7.09008,Trade,Service_Workers,nothern_central
18,48,Part Time,no,no,no,yes,male,no,12,no,6.90776,Professional_and_Related Service,Clerical_and_kindred,nothern_central
19,48,Full Time,no,no,no,yes,male,no,12,no,7.10824,Manufacturing,"Professional, Technical_and_kindred",nothern_central
20,48,Part Time,no,no,no,yes,male,no,12,no,7.0282,Business_and_Repair_Service,"Professional, Technical_and_kindred",nothern_central
21,48,Full Time,no,no,no,yes,male,no,12,no,7.31322,Manufacturing,Operatives_and_kindred,south
20,48,Part Time,no,no,yes,yes,male,no,13,no,6.90575,Manufacturing,Operatives_and_kindred,south
21,51,Full Time,no,no,yes,yes,male,no,13,no,6.57925,Manufacturing,Operatives_and_kindred,south
22,50,Part Time,no,no,yes,yes,male,no,13,no,7.18311,Manufacturing,"Professional, Technical_and_kindred",south
23,51,Full Time,no,no,yes,yes,male,no,13,no,7.31322,Manufacturing,"Professional, Technical_and_kindred",south
24,49,Part Time,no,no,yes,yes,male,no,13,no,7.40853,Manufacturing,Operatives_and_kindred,south
25,47,Full Time,no,no,yes,yes,male,no,13,no,7.38647,Manufacturing,Operatives_and_kindred,south
26,48,Part Time,no,no,yes,yes,male,no,13,no,7.64779,Manufacturing,"Professional, Technical_and_kindred",south
23,49,Full Time,yes,no,yes,yes,male,no,11,no,6.63726,Business_and_Repair_Service,"Craftsmen, Foremen_and_kindred",nothern_central
24,49,Part Time,yes,no,yes,yes,male,no,11,no,6.78559,Trade,"Craftsmen, Foremen_and_kindred",nothern_central
25,49,Full Time,yes,no,yes,yes,male,no,11,no,6.91274,Trade,"Craftsmen, Foremen_and_kindred",NA
26,49,Part Time,yes,no,yes,yes,male,no,11,no,6.98286,Trade,Operatives_and_kindred,NA
27,50,Full Time,yes,no,yes,yes,male,no,11,no,6.95655,Trade,"Craftsmen, Foremen_and_kindred",NA
28,49,Part Time,yes,no,yes,yes,male,no,11,no,7.0193,Trade,"Craftsmen, Foremen_and_kindred",NA
29,50,Full Time,yes,no,yes,yes,male,no,11,no,7.25347,Transportation,"Craftsmen, Foremen_and_kindred",NA
23,47,Part Time,no,no,yes,yes,male,no,16,no,6.90575,Transportation,"Craftsmen, Foremen_and_kindred",NA
24,48,Full Time,no,no,yes,yes,male,no,16,no,6.90575,Manufacturing,"Craftsmen, Foremen_and_kindred",south
25,48,Part Time,no,no,yes,yes,male,no,16,no,7.46737,Manufacturing,Laborers_and_farmers,south
26,49,Full Time,no,no,yes,yes,male,no,16,no,7.50384,Manufacturing,Operatives_and_kindred,south
27,45,Part Time,no,no,yes,yes,male,no,16,no,7.58579,Manufacturing,Clerical_and_kindred,south
28,48,Full Time,no,no,yes,yes,male,no,16,no,7.66388,Manufacturing,Clerical_and_kindred,south
29,47,Part Time,no,no,yes,yes,male,no,16,no,7.46737,Manufacturing,Clerical_and_kindred,south
4,51,Full Time,no,no,no,no,male,no,16,no,6.43775,Manufacturing,Laborers_and_farmers,south
5,51,Part Time,no,no,no,no,male,no,16,no,6.62007,Business_and_Repair_Service,Clerical_and_kindred,south
6,51,Full Time,no,no,no,no,male,no,16,no,6.62007,Trade,Operatives_and_kindred,south
7,50,Part Time,no,no,no,no,male,no,16,no,6.77422,Trade,Operatives_and_kindred,south
8,51,Full Time,no,no,no,no,male,no,16,no,7.1309,Manufacturing,Operatives_and_kindred,south
9,49,Part Time,no,no,yes,no,male,no,16,no,7.1507,Manufacturing,Operatives_and_kindred,south
